chaser,step,scene,duration_ms,beats
disco_funk-gold_room-mirrorball_peak,46,par_34_amber,,1
disco_funk-gold_room-mirrorball_peak,47,par_all_turquoise,,1
disco_funk-gold_room-mirrorball_peak,48,par_all_off,,1
disco_funk-gold_room-mirrorball_peak,49,disco_magenta,,1
disco_funk-gold_room-mirrorball_peak,50,disco_orange,,1
disco_funk-gold_room-mirrorball_peak,51,disco_turquoise,,1
disco_funk-gold_room-mirrorball_peak,52,disco_off,,1
disco_funk-gold_room-mirrorball_peak,53,disco_magenta,,1
disco_funk-gold_room-mirrorball_peak,54,disco_orange,,1
disco_funk-gold_room-mirrorball_peak,55,disco_turquoise,,1
disco_funk-gold_room-mirrorball_peak,56,disco_off,,1
disco_funk-gold_room-mirrorball_peak,57,par_all_magenta,,1
disco_funk-gold_room-mirrorball_peak,58,par_all_amber,,1
disco_funk-gold_room-mirrorball_peak,59,par_all_turquoise,,1
disco_funk-gold_room-mirrorball_peak,60,par_all_magenta,,1
disco_funk-gold_room-mirrorball_peak,61,par_all_magenta,,1
disco_funk-gold_room-mirrorball_peak,62,par_all_amber,,1
disco_funk-gold_room-mirrorball_peak,63,par_all_turquoise,,1
disco_funk-gold_room-mirrorball_peak,64,par_all_magenta,,1

# Disco & Funk - Ice Palace - Saturday Groove - low
disco_funk-ice_palace-saturday_groove,1,par_all_cyan,,1
disco_funk-ice_palace-saturday_groove,2,par_12_cyan,,1
disco_funk-ice_palace-saturday_groove,3,par_34_cyan,,1
disco_funk-ice_palace-saturday_groove,4,par_all_cyan,,1
disco_funk-ice_palace-saturday_groove,5,par_all_cyan,,1
disco_funk-ice_palace-saturday_groove,6,par_12_cyan,,1
disco_funk-ice_palace-saturday_groove,7,par_34_cyan,,1
disco_funk-ice_palace-saturday_groove,8,par_all_cyan,,1
disco_funk-ice_palace-saturday_groove,9,par_all_cyan,,1
disco_funk-ice_palace-saturday_groove,10,par_12_cyan,,1
disco_funk-ice_palace-saturday_groove,11,par_34_cyan,,1
disco_funk-ice_palace-saturday_groove,12,par_all_cyan,,1
disco_funk-ice_palace-saturday_groove,13,par_all_cyan,,1
disco_funk-ice_palace-saturday_groove,14,par_12_cyan,,1
disco_funk-ice_palace-saturday_groove,15,par_34_cyan,,1
disco_funk-ice_palace-saturday_groove,16,par_all_cyan,,1
disco_funk-ice_palace-saturday_groove,17,par_12_pink,,1
disco_funk-ice_palace-saturday_groove,18,par_34_pink,,1
disco_funk-ice_palace-saturday_groove,19,par_12_pink,,1
disco_funk-ice_palace-saturday_groove,20,par_34_pink,,1
disco_funk-ice_palace-saturday_groove,21,par_12_pink,,1
disco_funk-ice_palace-saturday_groove,22,par_34_pink,,1
disco_funk-ice_palace-saturday_groove,23,par_12_pink,,1
disco_funk-ice_palace-saturday_groove,24,par_34_pink,,1
disco_funk-ice_palace-saturday_groove,25,par_all_cyan,,1
disco_funk-ice_palace-saturday_groove,26,par_all_pink,,1
disco_funk-ice_palace-saturday_groove,27,par_all_warm_white,,1
disco_funk-ice_palace-saturday_groove,28,par_all_off,,1
disco_funk-ice_palace-saturday_groove,29,par_all_cyan,,1
disco_funk-ice_palace-saturday_groove,30,par_all_pink,,1
disco_funk-ice_palace-saturday_groove,31,par_all_warm_white,,1
disco_funk-ice_palace-saturday_groove,32,par_all_off,,1
disco_funk-ice_palace-saturday_groove,33,disco_cyan,,1
disco_funk-ice_palace-saturday_groove,34,disco_cyan,,1
disco_funk-ice_palace-saturday_groove,35,disco_pink,,1
disco_funk-ice_palace-saturday_groove,36,disco_off,,1
disco_funk-ice_palace-saturday_groove,37,disco_cyan,,1
disco_funk-ice_palace-saturday_groove,38,disco_cyan,,1
disco_funk-ice_palace-saturday_groove,39,disco_pink,,1
disco_funk-ice_palace-saturday_groove,40,disco_off,,1
disco_funk-ice_palace-saturday_groove,41,par_all_pink,,1
disco_funk-ice_palace-saturday_groove,42,par_12_pink,,1
disco_funk-ice_palace-saturday_groove,43,par_34_pink,,1
disco_funk-ice_palace-saturday_groove,44,par_all_pink,,1
disco_funk-ice_palace-saturday_groove,45,par_all_pink,,1
disco_funk-ice_palace-saturday_groove,46,par_12_pink,,1
disco_funk-ice_palace-saturday_groove,47,par_34_pink,,1
disco_funk-ice_palace-saturday_groove,48,par_all_pink,,1
disco_funk-ice_palace-saturday_groove,49,par_all_cyan,,1
disco_funk-ice_palace-saturday_groove,50,par_13_cyan,,1
disco_funk-ice_palace-saturday_groove,51,par_24_cyan,,1
disco_funk-ice_palace-saturday_groove,52,par_all_warm_white,,1
disco_funk-ice_palace-saturday_groove,53,par_all_cyan,,1
disco_funk-ice_palace-saturday_groove,54,par_13_cyan,,1
disco_funk-ice_palace-saturday_groove,55,par_24_cyan,,1
disco_funk-ice_palace-saturday_groove,56,par_all_warm_white,,1
disco_funk-ice_palace-saturday_groove,57,par_all_cyan,,1
disco_funk-ice_palace-saturday_groove,58,par_13_cyan,,1
disco_funk-ice_palace-saturday_groove,59,par_24_cyan,,1
disco_funk-ice_palace-saturday_groove,60,par_all_warm_white,,1
disco_funk-ice_palace-saturday_groove,61,par_all_cyan,,1
disco_funk-ice_palace-saturday_groove,62,par_13_cyan,,1
disco_funk-ice_palace-saturday_groove,63,par_24_cyan,,1
disco_funk-ice_palace-saturday_groove,64,par_all_warm_white,,1

# Disco & Funk - Ice Palace - Mirrorball Peak - high
disco_funk-ice_palace-mirrorball_peak,1,par_1_cyan,,1
disco_funk-ice_palace-mirrorball_peak,2,par_2_cyan,,1
disco_funk-ice_palace-mirrorball_peak,3,par_3_cyan,,1
disco_funk-ice_palace-mirrorball_peak,4,par_4_cyan,,1
disco_funk-ice_palace-mirrorball_peak,5,par_1_cyan,,1
disco_funk-ice_palace-mirrorball_peak,6,par_2_cyan,,1
disco_funk-ice_palace-mirrorball_peak,7,par_3_cyan,,1
disco_funk-ice_palace-mirrorball_peak,8,par_4_cyan,,1
disco_funk-ice_palace-mirrorball_peak,9,par_4_pink,,1
disco_funk-ice_palace-mirrorball_peak,10,par_3_pink,,1
